LL_Length,LL_Breadth,Secondary_Vein,Species
22.5,5.9,33,Knema linifolia (Roxb) Warb.
36.9,10.4,41,Knema linifolia (Roxb) Warb.
41.8,11.1,33,Knema linifolia (Roxb) Warb.
44.9,12.6,38,Knema linifolia (Roxb) Warb.
24.2,7.8,25,Knema linifolia (Roxb) Warb.
28.2,9.1,29,Knema linifolia (Roxb) Warb.
41.4,9.4,33,Knema linifolia (Roxb) Warb.
56.2,13,36,Knema linifolia (Roxb) Warb.
29,6.1,36,Knema linifolia (Roxb) Warb.
31.1,8.3,40,Knema linifolia (Roxb) Warb.
26.1,8.4,28,Knema linifolia (Roxb) Warb.
39.8,9.1,46,Knema linifolia (Roxb) Warb.
24.1,5.2,30,Knema linifolia (Roxb) Warb.
30.1,7.5,39,Knema linifolia (Roxb) Warb.
22.8,6,17,Knema linifolia (Roxb) Warb.
30.2,8.5,19,Knema linifolia (Roxb) Warb.
47.9,11.4,28,Knema linifolia (Roxb) Warb.
48.5,12.5,32,Knema linifolia (Roxb) Warb.
42,11,31,Knema linifolia (Roxb) Warb.
37.1,9.4,32,Knema linifolia (Roxb) Warb.
44.5,10.5,35,Knema linifolia (Roxb) Warb.
38.5,11,30,Knema linifolia (Roxb) Warb.
40.7,12.4,31,Knema linifolia (Roxb) Warb.
25.9,9.2,35,Knema linifolia (Roxb) Warb.
43.1,9.8,38,Knema linifolia (Roxb) Warb.
32.5,9.6,32,Knema linifolia (Roxb) Warb.
46.8,11.9,34,Knema linifolia (Roxb) Warb.
43.8,10.4,37,Knema linifolia (Roxb) Warb.
54.4,15.1,39,Knema linifolia (Roxb) Warb.
53.8,14.9,37,Knema linifolia (Roxb) Warb.
55.3,15.2,40,Knema linifolia (Roxb) Warb.
25.5,6,22,Knema linifolia (Roxb) Warb.
36.4,9.1,27,Knema linifolia (Roxb) Warb.
60.4,12.1,37,Knema linifolia (Roxb) Warb.
66.1,13.9,42,Knema linifolia (Roxb) Warb.
26.3,9.3,25,Knema linifolia (Roxb) Warb.
34.9,9.9,31,Knema linifolia (Roxb) Warb.
34.4,9,28,Knema linifolia (Roxb) Warb.
38.9,9.4,31,Knema linifolia (Roxb) Warb.
57.2,11.8,41,Knema linifolia (Roxb) Warb.
59.5,15.9,45,Knema linifolia (Roxb) Warb.
12.6,5.8,13,Knema linifolia (Roxb) Warb.
12.6,5.8,13,Knema linifolia (Roxb) Warb.
0,0,0,Knema linifolia (Roxb) Warb.
0,0,0,Knema linifolia (Roxb) Warb.
30,9.5,26,Knema linifolia (Roxb) Warb.
48.9,11,30,Knema linifolia (Roxb) Warb.
34,8,27,Knema linifolia (Roxb) Warb.
43.3,11.9,31,Knema linifolia (Roxb) Warb.
45.2,11.9,33,Knema linifolia (Roxb) Warb.
53.2,13.1,39,Knema linifolia (Roxb) Warb.
54.8,13.5,32,Knema linifolia (Roxb) Warb.
19.1,6.9,13,Knema linifolia (Roxb) Warb.
27.5,7.3,21,Knema linifolia (Roxb) Warb.
27.9,9.4,28,Knema linifolia (Roxb) Warb.
31.2,10.5,37,Knema linifolia (Roxb) Warb.
31.2,6.3,31,Knema linifolia (Roxb) Warb.
36.5,8.8,33,Knema linifolia (Roxb) Warb.
59.7,16.1,31,Knema linifolia (Roxb) Warb.
31.3,10.9,31,Knema linifolia (Roxb) Warb.
42,10.2,30,Knema linifolia (Roxb) Warb.
23,7,27,Knema linifolia (Roxb) Warb.
54.9,11.4,33,Knema linifolia (Roxb) Warb.
18.1,5.7,22,Knema linifolia (Roxb) Warb.
25.4,7.8,28,Knema linifolia (Roxb) Warb.
14.5,3,20,knema angustifolia (Roxb.) Warb.
20.1,4.1,24,knema angustifolia (Roxb.) Warb.
10.4,3,13,knema angustifolia (Roxb.) Warb.
16.2,3.1,20,knema angustifolia (Roxb.) Warb.
7.4,2.3,16,knema angustifolia (Roxb.) Warb.
9.8,2.5,21,knema angustifolia (Roxb.) Warb.
9.2,1.9,17,knema angustifolia (Roxb.) Warb.
16.8,3.1,25,knema angustifolia (Roxb.) Warb.
9.5,2.5,15,knema angustifolia (Roxb.) Warb.
13,2.6,23,knema angustifolia (Roxb.) Warb.
7.2,1.5,15,knema angustifolia (Roxb.) Warb.
8,1.6,17,knema angustifolia (Roxb.) Warb.
9.6,1.6,19,knema angustifolia (Roxb.) Warb.
12.3,2.3,21,knema angustifolia (Roxb.) Warb.
10.1,2.9,17,knema angustifolia (Roxb.) Warb.
16.6,3.5,22,knema angustifolia (Roxb.) Warb.
0,0,0,knema angustifolia (Roxb.) Warb.
0,0,0,knema angustifolia (Roxb.) Warb.
13.6,4.5,17,knema angustifolia (Roxb.) Warb.
19,5,21,knema angustifolia (Roxb.) Warb.
11.4,3.3,16,knema angustifolia (Roxb.) Warb.
22.1,5.4,21,knema angustifolia (Roxb.) Warb.
12.5,3.2,19,knema angustifolia (Roxb.) Warb.
19.3,4.3,23,knema angustifolia (Roxb.) Warb.
9.6,2.6,17,knema angustifolia (Roxb.) Warb.
11.5,3.4,21,knema angustifolia (Roxb.) Warb.
12,3.8,17,knema angustifolia (Roxb.) Warb.
20.2,4.9,22,knema angustifolia (Roxb.) Warb.
14.3,4.6,14,knema angustifolia (Roxb.) Warb.
17,6,18,knema angustifolia (Roxb.) Warb.
8.3,2.2,14,knema angustifolia (Roxb.) Warb.
12.9,2.6,20,knema angustifolia (Roxb.) Warb.
12.6,3.4,15,knema angustifolia (Roxb.) Warb.
18,5.1,19,knema angustifolia (Roxb.) Warb.
15.3,3.9,16,knema angustifolia (Roxb.) Warb.
18,4.6,18,knema angustifolia (Roxb.) Warb.
16.8,5,18,knema angustifolia (Roxb.) Warb.
23.9,6.5,22,knema angustifolia (Roxb.) Warb.
17,5,16,knema angustifolia (Roxb.) Warb.
19.8,5.9,20,knema angustifolia (Roxb.) Warb.
16.4,4.8,18,knema angustifolia (Roxb.) Warb.
19.1,5.6,19,knema angustifolia (Roxb.) Warb.
8.9,2.9,15,knema angustifolia (Roxb.) Warb.
14.3,4.5,19,knema angustifolia (Roxb.) Warb.
10.6,3.5,13,knema angustifolia (Roxb.) Warb.
14.2,4.6,18,knema angustifolia (Roxb.) Warb.
8.1,2.8,13,knema angustifolia (Roxb.) Warb.
10.5,3.6,18,knema angustifolia (Roxb.) Warb.
15.7,4.2,19,knema angustifolia (Roxb.) Warb.
18.9,4.9,21,knema angustifolia (Roxb.) Warb.
9.5,2.6,16,knema angustifolia (Roxb.) Warb.
15.3,4,19,knema angustifolia (Roxb.) Warb.
12.9,3.6,19,knema angustifolia (Roxb.) Warb.
17.6,4.1,21,knema angustifolia (Roxb.) Warb.
7.6,2.6,13,knema angustifolia (Roxb.) Warb.
20.1,5.5,18,knema angustifolia (Roxb.) Warb.
11.1,2.8,15,knema angustifolia (Roxb.) Warb.
17.2,4.3,19,knema angustifolia (Roxb.) Warb.
8.9,2.9,20,knema angustifolia (Roxb.) Warb.
14.2,3.6,26,knema angustifolia (Roxb.) Warb.
7.8,3,14,knema angustifolia (Roxb.) Warb.
13.5,3.9,19,knema angustifolia (Roxb.) Warb.
8.8,3,17,knema angustifolia (Roxb.) Warb.
16,4.4,19,knema angustifolia (Roxb.) Warb.
9.8,2,17,knema angustifolia (Roxb.) Warb.
12,2.3,21,knema angustifolia (Roxb.) Warb.
13.9,5.3,13,knema angustifolia (Roxb.) Warb.
19.1,5.5,19,knema angustifolia (Roxb.) Warb.
7.8,1.8,17,knema angustifolia (Roxb.) Warb.
11.1,2.6,20,knema angustifolia (Roxb.) Warb.
9.1,2.8,16,knema angustifolia (Roxb.) Warb.
12,3.9,18,knema angustifolia (Roxb.) Warb.
12.5,2.8,15,knema angustifolia (Roxb.) Warb.
15,3.6,18,knema angustifolia (Roxb.) Warb.
9.6,2.9,15,knema angustifolia (Roxb.) Warb.
15.1,4.1,19,knema angustifolia (Roxb.) Warb.
14,3.8,16,knema angustifolia (Roxb.) Warb.
19,5.9,19,knema angustifolia (Roxb.) Warb.
9.9,2.6,11,knema angustifolia (Roxb.) Warb.
15.9,3.8,19,knema angustifolia (Roxb.) Warb.
21,5.6,25,knema eratica (Hook. f. & Thomson) J. Sinclair
22.1,6.1,27,knema eratica (Hook. f. & Thomson) J. Sinclair
15,4.1,22,knema eratica (Hook. f. & Thomson) J. Sinclair
22.7,5.4,26,knema eratica (Hook. f. & Thomson) J. Sinclair
14.8,3.9,23,knema eratica (Hook. f. & Thomson) J. Sinclair
17.4,4.5,26,knema eratica (Hook. f. & Thomson) J. Sinclair
13.6,3.8,20,knema eratica (Hook. f. & Thomson) J. Sinclair
18.3,4.9,24,knema eratica (Hook. f. & Thomson) J. Sinclair
17.9,5.3,24,knema eratica (Hook. f. & Thomson) J. Sinclair
24.8,6.4,27,knema eratica (Hook. f. & Thomson) J. Sinclair
12.5,3.8,15,knema eratica (Hook. f. & Thomson) J. Sinclair
19,5.1,23,knema eratica (Hook. f. & Thomson) J. Sinclair
18.1,4.6,24,knema eratica (Hook. f. & Thomson) J. Sinclair
25.6,5.9,27,knema eratica (Hook. f. & Thomson) J. Sinclair
19.8,4.9,26,knema eratica (Hook. f. & Thomson) J. Sinclair
22.4,5.4,28,knema eratica (Hook. f. & Thomson) J. Sinclair
21,5.5,27,knema eratica (Hook. f. & Thomson) J. Sinclair
22.5,7.1,29,knema eratica (Hook. f. & Thomson) J. Sinclair
5,3.4,13,knema eratica (Hook. f. & Thomson) J. Sinclair
18.1,5,23,knema eratica (Hook. f. & Thomson) J. Sinclair
14.4,3.6,19,knema eratica (Hook. f. & Thomson) J. Sinclair
20.6,4.6,24,knema eratica (Hook. f. & Thomson) J. Sinclair
15.4,3,27,knema eratica (Hook. f. & Thomson) J. Sinclair
20.8,3.8,34,knema eratica (Hook. f. & Thomson) J. Sinclair
21.4,5.9,29,knema eratica (Hook. f. & Thomson) J. Sinclair
22.9,6.2,31,knema eratica (Hook. f. & Thomson) J. Sinclair
12.9,2.8,24,knema eratica (Hook. f. & Thomson) J. Sinclair
15.2,3,26,knema eratica (Hook. f. & Thomson) J. Sinclair
13.1,3.1,19,knema eratica (Hook. f. & Thomson) J. Sinclair
15.6,3.9,24,knema eratica (Hook. f. & Thomson) J. Sinclair
14.3,3.9,18,knema eratica (Hook. f. & Thomson) J. Sinclair
18.9,4.2,25,knema eratica (Hook. f. & Thomson) J. Sinclair
19.2,4.1,24,knema eratica (Hook. f. & Thomson) J. Sinclair
25,5.4,31,knema eratica (Hook. f. & Thomson) J. Sinclair
23.2,4.5,23,knema eratica (Hook. f. & Thomson) J. Sinclair
27.5,6.6,29,knema eratica (Hook. f. & Thomson) J. Sinclair
13.6,3.1,27,knema eratica (Hook. f. & Thomson) J. Sinclair
20.4,4,29,knema eratica (Hook. f. & Thomson) J. Sinclair
13.8,3.1,24,knema eratica (Hook. f. & Thomson) J. Sinclair
18.9,4.1,27,knema eratica (Hook. f. & Thomson) J. Sinclair
13.2,3.1,21,knema eratica (Hook. f. & Thomson) J. Sinclair
18.4,3.9,29,knema eratica (Hook. f. & Thomson) J. Sinclair
12.5,2.9,18,knema eratica (Hook. f. & Thomson) J. Sinclair
17.2,4.1,25,knema eratica (Hook. f. & Thomson) J. Sinclair
12.1,3.7,20,knema eratica (Hook. f. & Thomson) J. Sinclair
18.8,4.8,27,knema eratica (Hook. f. & Thomson) J. Sinclair
17.5,3.2,28,knema eratica (Hook. f. & Thomson) J. Sinclair
24.2,5,31,knema eratica (Hook. f. & Thomson) J. Sinclair
11.2,2.5,23,knema eratica (Hook. f. & Thomson) J. Sinclair
20,4.3,27,knema eratica (Hook. f. & Thomson) J. Sinclair
12.4,2.9,19,knema eratica (Hook. f. & Thomson) J. Sinclair
17,4.1,28,knema eratica (Hook. f. & Thomson) J. Sinclair
15.2,2.9,28,knema eratica (Hook. f. & Thomson) J. Sinclair
18.8,4.3,31,knema eratica (Hook. f. & Thomson) J. Sinclair
10.1,2.9,17,knema eratica (Hook. f. & Thomson) J. Sinclair
17.5,3.5,26,knema eratica (Hook. f. & Thomson) J. Sinclair
17.6,3.8,25,knema eratica (Hook. f. & Thomson) J. Sinclair
21.8,5,31,knema eratica (Hook. f. & Thomson) J. Sinclair
18,4.1,30,knema eratica (Hook. f. & Thomson) J. Sinclair
26.9,4.4,39,knema eratica (Hook. f. & Thomson) J. Sinclair
12.8,2.5,30,knema eratica (Hook. f. & Thomson) J. Sinclair
21.1,3.4,33,knema eratica (Hook. f. & Thomson) J. Sinclair
8.1,2.5,15,knema eratica (Hook. f. & Thomson) J. Sinclair
23.4,3.6,34,knema eratica (Hook. f. & Thomson) J. Sinclair
19.1,4.1,32,knema eratica (Hook. f. & Thomson) J. Sinclair
26.4,4.6,38,knema eratica (Hook. f. & Thomson) J. Sinclair
13,2.8,26,knema eratica (Hook. f. & Thomson) J. Sinclair
20.1,3.5,36,knema eratica (Hook. f. & Thomson) J. Sinclair
16.5,2.8,30,knema eratica (Hook. f. & Thomson) J. Sinclair
23.5,4.1,38,knema eratica (Hook. f. & Thomson) J. Sinclair
10.6,2.1,21,knema eratica (Hook. f. & Thomson) J. Sinclair
17.6,4,27,knema eratica (Hook. f. & Thomson) J. Sinclair
19.1,3.5,27,knema eratica (Hook. f. & Thomson) J. Sinclair
27.3,5.2,30,knema eratica (Hook. f. & Thomson) J. Sinclair
13.1,2.5,26,knema eratica (Hook. f. & Thomson) J. Sinclair
19.2,4.4,31,knema eratica (Hook. f. & Thomson) J. Sinclair
12.1,2.5,24,knema eratica (Hook. f. & Thomson) J. Sinclair
19.2,3.4,33,knema eratica (Hook. f. & Thomson) J. Sinclair
20.5,4.3,28,knema eratica (Hook. f. & Thomson) J. Sinclair
27.2,5.4,31,knema eratica (Hook. f. & Thomson) J. Sinclair
18.5,4,29,knema eratica (Hook. f. & Thomson) J. Sinclair
27.5,6.6,31,knema eratica (Hook. f. & Thomson) J. Sinclair
12.1,2.3,24,knema eratica (Hook. f. & Thomson) J. Sinclair
18.5,3.5,29,knema eratica (Hook. f. & Thomson) J. Sinclair
15.9,3.1,30,knema eratica (Hook. f. & Thomson) J. Sinclair
24.2,5,33,knema eratica (Hook. f. & Thomson) J. Sinclair
10.5,2.7,19,knema eratica (Hook. f. & Thomson) J. Sinclair
17.9,3.6,30,knema eratica (Hook. f. & Thomson) J. Sinclair
16.9,3.7,25,knema eratica (Hook. f. & Thomson) J. Sinclair
18,3.9,27,knema eratica (Hook. f. & Thomson) J. Sinclair
15.9,3.6,25,knema eratica (Hook. f. & Thomson) J. Sinclair
23.2,4.8,29,knema eratica (Hook. f. & Thomson) J. Sinclair
17,3,27,knema eratica (Hook. f. & Thomson) J. Sinclair
20.9,4.4,29,knema eratica (Hook. f. & Thomson) J. Sinclair
18.5,3.4,29,knema eratica (Hook. f. & Thomson) J. Sinclair
